Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL,Genre
87,86.0,मरद हS माथा के दरद,Shivani Singh,6,8617564,-0.01%,https://www.youtube.com/watch?v=VygV7LqbUSU,Unknown
88,76.0,Morni,Badshah & Sharvi Yadav,3,8559484,-0.09%,https://www.youtube.com/watch?v=Zrt77f7nTqY,Unknown
89,80.0,LA PATRULLA,Peso Pluma & Neton Vega,19,8549497,-0.08%,https://www.youtube.com/watch?v=Fr9rMmMp3mY,Unknown
90,53.0,squabble up,Kendrick Lamar,3,8539822,-0.24%,https://www.youtube.com/watch?v=fuV4yQWdn_4,Unknown
91,90.0,AURA,Ogryzek,8,8478868,-0.01%,https://www.youtube.com/watch?v=7E8CgqNRLS8,Unknown
92,,Santa Tell Me,Ariana Grande,14,8478053,,https://www.youtube.com/watch?v=nlR0MkrRklg,Unknown
93,,I Love You,Celine Dion,2,8420592,,https://www.youtube.com/watch?v=JAeUm1kJrlI,Unknown
94,,Descer Pra BC,Brenno & Matheus & DJ Ari SL,1,8402905,,https://www.youtube.com/watch?v=U6reD8UVa0E,Unknown
95,89.0,QUE VAS HACER HOY?,DE LA ROSE & Omar Courtz,11,8332317,-0.04%,https://www.youtube.com/watch?v=Lu8u_SEjt1Y,Unknown
96,96.0,Sailor Song,Gigi Perez,5,8263616,0%,https://www.youtube.com/watch?v=1lrFsXkT_rM,Unknown
97,88.0,ESCAPATE,Tito Double P & Chino Pacas,13,8245789,-0.05%,https://www.youtube.com/watch?v=KIvwGI4eDGg,Unknown
98,91.0,luther,Kendrick Lamar & SZA,3,8240158,-0.03%,https://www.youtube.com/watch?v=Tv3vbJTzmfg,Unknown
99,92.0,Sajna Ve Sajna,Sunidhi Chauhan & Divya Kumar,9,8024787,-0.05%,https://www.youtube.com/watch?v=DTxziqyBoUo,Unknown
100,43.0,Empty Out Your Pockets,Juice WRLD,2,8010042,-0.35%,https://www.youtube.com/watch?v=hgYhws0AHcg,Unknown
