Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
80,74,Rey Sin Reina,Julión Álvarez y su Norteño Banda,13,9111410,-0.04%,https://www.youtube.com/watch?v=ElRVZ09939k
81,64,Bam Lagatar,Khushi Kakkar,15,9026485,-0.15%,https://www.youtube.com/watch?v=KMouL_2HKvM
82,87,اول مرة,حمزة المحمداوي,6,8984000,0.03%,https://www.youtube.com/watch?v=ETPU2RY_aCY
83,73,Raanjhan,Parampara Thakur,5,8947352,-0.06%,https://www.youtube.com/watch?v=kcvDPUZer7I
84,99,Morena Canela,Chino Pacas,3,8894722,0.09%,https://www.youtube.com/watch?v=j9HE268Um30
85,97,Última Noite,Léo Foguete,8,8851177,0.08%,https://www.youtube.com/watch?v=RP9uZiiWMU4
86,n/a,EL CLúB,Bad Bunny,1,8722252,n/a,https://www.youtube.com/watch?v=7f6SxWMOpdU
87,86,मरद हS माथा के दरद,Shivani Singh,6,8617564,-0.01%,https://www.youtube.com/watch?v=VygV7LqbUSU
88,76,Morni,Badshah & Sharvi Yadav,3,8559484,-0.09%,https://www.youtube.com/watch?v=Zrt77f7nTqY
89,80,LA PATRULLA,Peso Pluma & Neton Vega,19,8549497,-0.08%,https://www.youtube.com/watch?v=Fr9rMmMp3mY
90,53,squabble up,Kendrick Lamar,3,8539822,-0.24%,https://www.youtube.com/watch?v=fuV4yQWdn_4
91,90,AURA,Ogryzek,8,8478868,-0.01%,https://www.youtube.com/watch?v=7E8CgqNRLS8
92,n/a,Santa Tell Me,Ariana Grande,14,8478053,n/a,https://www.youtube.com/watch?v=nlR0MkrRklg
93,n/a,I Love You,Celine Dion,2,8420592,n/a,https://www.youtube.com/watch?v=JAeUm1kJrlI
94,n/a,Descer Pra BC,Brenno & Matheus & DJ Ari SL,1,8402905,n/a,https://www.youtube.com/watch?v=U6reD8UVa0E
95,89,QUE VAS HACER HOY?,DE LA ROSE & Omar Courtz,11,8332317,-0.04%,https://www.youtube.com/watch?v=Lu8u_SEjt1Y
96,96,Sailor Song,Gigi Perez,5,8263616,0%,https://www.youtube.com/watch?v=1lrFsXkT_rM
97,88,ESCAPATE,Tito Double P & Chino Pacas,13,8245789,-0.05%,https://www.youtube.com/watch?v=KIvwGI4eDGg
98,91,luther,Kendrick Lamar & SZA,3,8240158,-0.03%,https://www.youtube.com/watch?v=Tv3vbJTzmfg
99,92,Sajna Ve Sajna,Sunidhi Chauhan & Divya Kumar,9,8024787,-0.05%,https://www.youtube.com/watch?v=DTxziqyBoUo
100,43,Empty Out Your Pockets,Juice WRLD,2,8010042,-0.35%,https://www.youtube.com/watch?v=hgYhws0AHcg
